theta,rp_Co_re,rp_Co_im,rp_Ni_re,rp_Ni_im,rs_Co_re,rs_Co_im,rs_Ni_re,rs_Ni_im,rp_Co^2_re,rp_Co^2_im,rp_Ni^2_re,rp_Ni^2_im,rs_Co^2_re,rs_Co^2_im,rs_Ni^2_re,rs_Ni^2_im,rp_Ni^2 - rs_Ni^2_re,rp_Ni^2 - rs_Ni^2_im,rp_Ni^2 + rs_Ni^2_re,rp_Ni^2 + rs_Ni^2_im,rp_Co^2 - rs_Co^2_re,rp_Co^2 - rs_Co^2_im,rp_Co^2 + rs_Co^2_re,rp_Co^2 + rs_Co^2_im
42,0.677408404148,0.372074526458,0.675189622997,0.393642879279,-0.834545467913,-0.237567175098,-0.836295980893,-0.250830849536,0.32044269277,0.504092822384,0.300926310596,0.531567174512,0.640027975331,0.396521218607,0.636474852579,0.419537662703,-0.335548541983,0.11202951181,0.937401163175,0.951104837215,-0.31958528256,0.107571603778,0.960470668101,0.900614040991
43,0.671776397322,0.376058279406,0.669378357504,0.397855362491,-0.837500106573,-0.234424261519,-0.839289544617,-0.24749514432,0.30986369849,0.505254152245,0.289778496032,0.532631538137,0.646451694121,0.392660688011,0.643153093241,0.415440173942,-0.353374597209,0.117191364196,0.932931589273,0.948071712079,-0.336587995631,0.112593464233,0.95631539261,0.897914840256
44,0.665858090936,0.38019336907,0.663270047027,0.40222604261,-0.840501546317,-0.231200936297,-0.842328581122,-0.24407454266,0.29881999938,0.506309661831,0.278141365929,0.533568972395,0.652988976416,0.388649488935,0.6499450562,0.411181926413,-0.37180369027,0.122387045982,0.928086422129,0.944750898808,-0.354168977036,0.117660172896,0.951808975796,0.894959150767
45,0.659636631319,0.384484276974,0.656847108011,0.406759388741,-0.843548270027,-0.227897021804,-0.845411438619,-0.240568893535,0.287292326138,0.507239826516,0.265994922974,0.534357456301,0.659636631319,0.384484276974,0.656847108011,0.406759388741,-0.390852185037,0.12759806756,0.922842030984,0.941116845042,-0.372344305181,0.122755549543,0.946928957457,0.89172410349
46,0.653093761939,0.38893557402,0.65009049431,0.411459930468,-0.846638735423,-0.224512364938,-0.848536439614,-0.236978073202,0.275260581146,0.508022794377,0.253318376411,0.534972379174,0.666391346308,0.380161729476,0.663855482174,0.402169061002,-0.410537105763,0.132803318172,0.917173858585,0.937141440176,-0.391130765162,0.127861064901,0.941651927454,0.888184523853
47,0.646209685693,0.39355189852,0.642979554442,0.416332229925,-0.849771375965,-0.221046838651,-0.851701881989,-0.23330198679,0.262703861055,0.508634097293,0.240090181757,0.535386223393,0.673249686531,0.375678552467,0.670966278743,0.397407482442,-0.430876096987,0.137978740952,0.9110564605,0.932793705835,-0.410545825476,0.132955544826,0.935953547587,0.884312649759
48,0.638962911296,0.398337927945,0.635491872571,0.421380846511,-0.852944601807,-0.217500343452,-0.854906040128,-0.229540569884,0.249600497173,0.509046324239,0.226288102298,0.53556820643,0.68020809435,0.371031487678,0.678175464225,0.392471239297,-0.451887361927,0.143096967133,0.904463566523,0.928039445727,-0.430607597177,0.138014836561,0.929808591522,0.880077811916
49,0.631330081723,0.403298342986,0.627603091168,0.426610292683,-0.85615680078,-0.213872808909,-0.858147166082,-0.225693790078,0.235928118634,0.509228751672,0.211889298221,0.535483876824,0.687262889131,0.366217319699,0.685478871775,0.387356972716,-0.473589573554,0.148126904108,0.897368169996,0.92284084954,-0.451334770497,0.143011431973,0.923191007764,0.875446071371
50,0.623285782366,0.408437782207,0.619286713024,0.43202497884,-0.859406339415,-0.210164195127,-0.86142349077,-0.221761648518,0.221663744566,0.509146925262,0.196870450586,0.535094658181,0.694410267313,0.361232883221,0.692872201697,0.382061386771,-0.496001751111,0.15303327141,0.889742652283,0.917156044952,-0.472746522747,0.147914042041,0.916074011878,0.870379808482
51,0.614802326249,0.413760785189,0.610513879992,0.437629144957,-0.862691564005,-0.20637449421,-0.864733225228,-0.217744181414,0.206783913001,0.508762186489,0.181207929147,0.53435733457,0.701646302745,0.356075070361,0.700351022274,0.376581256539,-0.519143093127,0.157776078032,0.881558951421,0.910938591109,-0.494862389744,0.152687116128,0.908430215745,0.86483725685
52,0.605849513272,0.419271721573,0.601253125474,0.443426776037,-0.866010801702,-0.202503731702,-0.86807456189,-0.213641461529,0.191264856221,0.508031136887,0.164878015186,0.533223470021,0.708966947311,0.350740838078,0.707910770917,0.370913436236,-0.543032755731,0.162310033785,0.872788786103,0.904136906258,-0.51770209109,0.157290298809,0.900231803532,0.858771974965
53,0.596394360047,0.424974702855,0.591470097294,0.449421497863,-0.869362361652,-0.198551968008,-0.87144567591,-0.209453599633,0.175082734629,0.50690503189,0.147857193251,0.531638754135,0.716368031858,0.345227215636,0.715546755663,0.365054867408,-0.567689562412,0.166583886727,0.863403948914,0.896693621542,-0.541285297228,0.161677816254,0.891450766487,0.852132247527
54,0.586400796393,0.430873473024,0.581127247169,0.455616448687,-0.872744536166,-0.19451929978,-0.874844726519,-0.205180745935,0.158213944255,0.505329095452,0.130122529087,0.529542265181,0.723845267421,0.339531312123,0.723254157016,0.359002587129,-0.593131627929,0.170539678052,0.853376686104,0.88854485231,-0.565631323166,0.165797783329,0.882059211676,0.844860407575
55,0.575829324057,0.436971273263,0.570183482502,0.462014121524,-0.876155601924,-0.190405861284,-0.878269858425,-0.20082309147,0.140635516787,0.503241745831,0.11165215523,0.526865641551,0.731394246771,0.333650324007,0.731028030151,0.352753736228,-0.619375874921,0.174111905323,0.842680185381,0.879619377778,-0.590758729984,0.169591421825,0.872029763558,0.836892069838
56,0.564636632611,0.443270674797,0.55859377574,0.468616170513,-0.879593821215,-0.186211825735,-0.881719203239,-0.196380869456,0.122325635751,0.500573722304,0.0924258910298,0.523532152119,0.739010446275,0.327581542707,0.738863307471,0.346305567496,-0.646437416442,0.177226584623,0.831289198501,0.869837719615,-0.616684810524,0.172992179597,0.861336082027,0.828155265012
57,0.552775166838,0.449773372571,0.546308725968,0.475423173269,-0.88305744321,-0.181937406592,-0.885190880938,-0.191854356608,0.103264298399,0.497247102125,0.0724260303883,0.519455656168,0.746689228092,0.321322362179,0.746754801546,0.339655453876,-0.674328771158,0.179800202293,0.819180831935,0.859111110044,-0.643424929692,0.175924739946,0.849953526491,0.818569464304
58,0.540192639219,0.456479930725,0.533274066855,0.482434339276,-0.88654470527,-0.177582858828,-0.888683001368,-0.187243874415,0.0834341603124,0.493174197057,0.0516383386666,0.514539444192,0.754425842693,0.314870286482,0.754697208415,0.332800896605,-0.703058869748,0.181738547587,0.806335547081,0.847340340797,-0.67099168238,0.178303910576,0.837860003005,0.808044483539
59,0.526831480344,0.463389468598,0.519430114518,0.489647152035,-0.890053834276,-0.173148480157,-0.892193665766,-0.182549790365,0.0628216090735,0.488256319435,0.0300533103727,0.50867495251,0.762215431729,0.308222937325,0.76268511127,0.3257395333,-0.732631800898,0.182935419209,0.792738421643,0.83441448581,-0.699393822655,0.18003338211,0.825037040802,0.79647925676
60,0.512628219349,0.47049927332,0.504711148352,0.497056929738,-0.893583048,-0.16863461222,-0.895720968319,-0.177772519135,0.0414181250781,0.482382409375,0.00766775186978,0.501740347609,0.770053031234,0.301378061571,0.770712984526,0.318469145959,-0.763045232656,0.18327120165,0.778380736396,0.820209493568,-0.728634906156,0.181004347803,0.811471156312,0.783760470946
61,0.497512785678,0.477804321542,0.489044717431,0.504656285633,-0.897130556496,-0.164041641737,-0.89926299775,-0.172912523723,0.0192220022286,0.475427518038,-0.0155132309816,0.493598981214,0.777933575174,0.29433353868,0.778775198261,0.310987668863,-0.794288429243,0.18261131235,0.76326196728,0.804586650077,-0.758711572946,0.181093979358,0.797155577403,0.769761056718
62,0.481407722801,0.485296688586,0.472350864918,0.512434464628,-0.900694563522,-0.159370001608,-0.902817838928,-0.167970316537,-0.00375948038031,0.46725114747,-0.0394737409496,0.484097725162,0.785851899346,0.287087388073,0.786866023049,0.30329319636,-0.826339763999,0.180804528802,0.7473922821,0.787390921523,-0.789611379726,0.180163759397,0.782092418966,0.754338535543
63,0.46422730404,0.492964817807,0.454541262995,0.520376527063,-0.904273267987,-0.154620171971,-0.906383574506,-0.162946460427,-0.0275073217792,0.457695456713,-0.0641839701523,0.473065207689,0.793802745616,0.279637776411,0.794979635168,0.29538399051,-0.859163605321,0.177681217179,0.730795665016,0.768449198198,-0.821310067395,0.178057680303,0.766295423837,0.737333233124
64,0.44587654046,0.500792616077,0.435518251495,0.528462343381,-0.907864865418,-0.149792681218,-0.909958286574,-0.157841569664,-0.0519873549852,0.446583358289,-0.089596300986,0.46030999154,0.801780766514,0.271983024748,0.80311012219,0.287258488564,-0.892706423176,0.173051502976,0.713513821204,0.747568480104,-0.853768121499,0.17460033354,0.749793411528,0.718566383037
65,0.426250071244,0.508758332649,0.415173774939,0.536665354606,-0.911467549451,-0.144888106949,-0.913540058341,-0.15265631087,-0.0771459178043,0.433716551076,-0.115640439437,0.445618762302,0.809780530167,0.264121615571,0.811251488945,0.278915310276,-0.926891928381,0.166703452026,0.695611049508,0.724534072577,-0.886926447971,0.169594935504,0.732634612363,0.697838166647
66,0.405230928308,0.516833167646,0.393388215476,0.544951042386,-0.915079513346,-0.139907076894,-0.917126975828,-0.147391403876,-0.102904417922,0.418873568612,-0.142217350522,0.428754636172,0.81779652558,0.256052199675,0.819397663855,0.270353264999,-0.961615014377,0.158401371173,0.677180313333,0.699107901172,-0.920700943502,0.162821368936,0.714892107659,0.674925768287
67,0.38268916979,0.524979542654,0.37002912398,0.553275038582,-0.918698951511,-0.134850269762,-0.920717129582,-0.142047622539,-0.129152519531,0.40180797067,-0.169191715725,0.409455755694,0.825823168252,0.247773602883,0.827542505637,0.261571358576,-0.996734221361,0.147884397117,0.658350789912,0.67102711427,-0.954975687783,0.154034367786,0.696670648722,0.649581573553
